indicator,mentions,group,method,type,,,,,,,,,,,
coral cover ,50,coral,monitoring ,biological ,,,,,,,,,,,
Dead coral ,14,coral,monitoring ,biological ,,,,,,,,,,,
Bleaching,19,coral,monitoring ,biological ,,,,,,,,,,,
diseased ,15,coral,monitoring ,biological ,,,,,,,,,,,
colony size,17,coral,monitoring ,biological ,,,,,,,,,,,
coral species diversity/composition,17,coral,monitoring ,biological ,,,,,,,,,,,
juvenile coral/new recruits ,8,coral,monitoring ,biological ,,,,,,,,,,,
soft coral,3,coral,monitoring ,biological ,,,,,,,,,,,
number of colonies ,1,coral,monitoring ,biological ,,,,,,,,,,,
biochemical proceses in coral,1,coral,monitoring ,biological ,,,,,,,,,,,
seagrass/seaweed,1,flora,monitoring ,biological ,,,,,,,,,,,
sponge,3,flora,monitoring ,biological ,,,,,,,,,,,
Mangrove,1,flora,monitoring ,biological ,,,,,,,,,,,
marine plants,1,flora,monitoring ,biological ,,,,,,,,,,,
Algal Cover,27,flora,monitoring ,biological ,,,,,,,,,,,
DNA,1,DNA,monitoring ,biological ,,,,,,,,,,,
substrate/benthic composition ,15,Benthos,monitoring ,biological ,,,,,,,,,,,
Rugousity/complexity/surface area ,9,Benthos,monitoring ,biological ,,,,,,,,,,,
rubble,3,Benthos,monitoring ,biological ,,,,,,,,,,,
significant features,1,Benthos,monitoring ,biological ,,,,,,,,,,,
urchin presence,8,Fauna,monitoring ,biological ,,,,,,,,,,,
Herbivory/Grazer species,7,Fauna,monitoring ,biological ,,,,,,,,,,,
predators ,4,Fauna,monitoring ,biological ,,,,,,,,,,,
"benthic organisms, inverts (general) + grazers",7,Fauna,monitoring ,biological ,,,,,,,,,,,
COTS,4,Fauna,monitoring ,biological ,,,,,,,,,,,
butterfly fish,2,Fauna,monitoring ,biological ,,,,,,,,,,,
Turtles,2,Fauna,monitoring ,biological ,,,,,,,,,,,
fish counts predators,1,Fauna,monitoring ,biological ,,,,,,,,,,,
parrotfish abundance and size ,1,Fauna,monitoring ,biological ,,,,,,,,,,,
damselfish numbers ,1,Fauna,monitoring ,biological ,,,,,,,,,,,
grazer population ,1,Fauna,monitoring ,biological ,,,,,,,,,,,
lobster ,1,Fauna,monitoring ,biological ,,,,,,,,,,,
grouper ,1,Fauna,monitoring ,biological ,,,,,,,,,,,
reef fish endamism,1,Fauna,monitoring ,biological ,,,,,,,,,,,
fish bites,1,Fauna,monitoring ,biological ,,,,,,,,,,,
fish functional groups,1,Fauna,monitoring ,biological ,,,,,,,,,,,
monk seal,1,Fauna,monitoring ,biological ,,,,,,,,,,,
focal species,1,Fauna,monitoring ,biological ,,,,,,,,,,,
fish diveristy & abundance,1,Fauna,monitoring ,biological ,,,,,,,,,,,
invasive species,1,Fauna,monitoring ,biological ,,,,,,,,,,,
predators ,1,Fauna,MSP,biological ,,,,,,,,,,,
coral cover,2,coral,MSP,biological ,,,,,,,,,,,
natural mortality,1,coral,MSP,biological ,,,,,,,,,,,
recruitnemnt,1,coral,MSP,biological ,,,,,,,,,,,
recovery time,1,coral,MSP,biological ,,,,,,,,,,,
algal cover,1,flora,MSP,biological ,,,,,,,,,,,
habitat(biodiversity),1,Benthos,MSP,biological ,,,,,,,,,,,
density of fish ,1,Fauna,MSP,biological ,,,,,,,,,,,
invasive species,4,Fauna,MSP,biological ,,,,,,,,,,,
Distance to shore,2,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
Management status ,10,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
Fishing pressure/impact ,10,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
Shipping/Boat traffic,4,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
tourism,4,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
glenaing,1,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
sandmining,1,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
port activties,1,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
light,1,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
historical human use,1,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
socio-economic status,1,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
Historical disturbance data/human use ,9,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
landuse,7,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
Urban impact/Coastal development,6,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
pollution,3,Direct human use,monitoring ,Socio-economic ,,,,,,,,,,,
sedimentation ,15,water quality,monitoring ,Physical,,,,,,,,,,,
Water Quality ,13,water quality,monitoring ,Physical,,,,,,,,,,,
Salinity ,5,water quality,monitoring ,Physical,,,,,,,,,,,
chloryhyl a,4,water quality,monitoring ,Physical,,,,,,,,,,,
nutrient loads ,3,water quality,monitoring ,Physical,,,,,,,,,,,
fresh water impact,1,water quality,monitoring ,Physical,,,,,,,,,,,
Rainfall,2,water quality,monitoring ,Physical,,,,,,,,,,,
ocean colour,1,water quality,monitoring ,Physical,,,,,,,,,,,
dredging ,1,water quality,monitoring ,Physical,,,,,,,,,,,
(SS) Temp,12,Temprature ,monitoring ,Physical,,,,,,,,,,,
depth ,10,depth,monitoring ,Physical,,,,,,,,,,,
Wave expousure ,4,Physical,monitoring ,Physical,,,,,,,,,,,
climate change,1,Physical,monitoring ,Physical,,,,,,,,,,,
Damaging winds/cyclone,5,Physical,monitoring ,Physical,,,,,,,,,,,
Runoff,6,Water Quality,monitoring ,Physical,,,,,,,,,,,
terrestrial vegigation,1,Water Quality,monitoring ,Physical,,,,,,,,,,,
seasonal vairation,2,misc.,monitoring ,Physical,,,,,,,,,,,
stressors,1,misc.,monitoring ,Physical,,,,,,,,,,,
radiation,1,misc.,monitoring ,Physical,,,,,,,,,,,
tidal range,1,misc.,monitoring ,Physical,,,,,,,,,,,
human trampling ,3,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
noise/light pollution,2,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
commerical shipping ,2,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
coastal development,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
habours,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
structures,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
coastal engenieering,2,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
coastal power plants ,2,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
sewage,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
aquaculture,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
commerical fishing,2,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
management effectivness,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
Diamond/mineral mining,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
Sand mining,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
Groundwater extraction,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
"Piers, breakwaters and groynes/shoreline amouring",2,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
Solid waste (litter),1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
Harvesting of invertebrates,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
Kelp/wrack/seaweed harvesting,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
Beach grooming/cleaning,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
Beach driving,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
Road density ,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
logged area ,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
urban area ,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
agricultural area ,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
Beach nourishment,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
land based impacts,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
inorganic pollution,3,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
Reduced estuarine flow,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
ecosystem services,1,Direct human use,MSP,Socio-economic ,,,,,,,,,,,
water quality,1,Water Quality,MSP,Physical,,,,,,,,,,,
freshwater infulence,1,Water Quality,MSP,Physical,,,,,,,,,,,
nutrient input,2,Water Quality,MSP,Physical,,,,,,,,,,,
organic pollution ,3,Water Quality,MSP,Physical,,,,,,,,,,,
sediment decrease ,2,Water Quality,MSP,Physical,,,,,,,,,,,
projected stressors,2,disturbances,MSP,Physical,,,,,,,,,,,
frequency of events,1,disturbances,MSP,Physical,,,,,,,,,,,
damaging winds,1,disturbances,MSP,Physical,,,,,,,,,,,
historical data,1,disturbances,MSP,Physical,,,,,,,,,,,
cyclone wave damage,1,disturbances,MSP,Physical,,,,,,,,,,,
acidification,2,Climate chang,MSP,Physical,,,,,,,,,,,
UV,2,Climate chang,MSP,Physical,,,,,,,,,,,
SST,4,Climate chang,MSP,Physical,,,,,,,,,,,
DHW,2,Climate chang,MSP,Physical,,,,,,,,,,,
connectivity,2,misc.,MSP,Physical,,,,,,,,,,,
habitat risk,1,misc.,MSP,Physical,,,,,,,,,,,
diffuse attenuation,1,misc.,MSP,Physical,,,,,,,,,,,
calcite,1,misc.,MSP,Physical,,,,,,,,,,,
ocean based pollution,2,misc.,MSP,Physical,,,,,,,,,,,
atmospheric deposition of pollutants ,2,misc.,MSP,Physical,,,,,,,,,,,
